word,pronunciation,meaning,partOfSpeech,example
ball,/bɔːl/,ลูกบอล,noun,"Football"
bank,/bæŋk/,ธนาคาร,noun,"Bank account"
bar,/bɑːr/,บาร์,noun,"Chocolate bar"
base,/beɪs/,ฐาน,noun,"Military base"
basic,/ˈbeɪsɪk/,พื้นฐาน,adjective,"Basic skills"
beach,/biːtʃ/,ชายหาด,noun,"Sandy beach"
beat,/biːt/,ตี,verb,"Beat the drum"
beautiful,/ˈbjuːtɪfəl/,สวย,adjective,"Beautiful flower"
because,/bɪˈkɔːz/,เพราะ,conjunction,"Because I love you"
become,/bɪˈkʌm/,กลายเป็น,verb,"Become a doctor"
bed,/bed/,เตียง,noun,"Comfortable bed"
bedroom,/ˈbedruːm/,ห้องนอน,noun,"Master bedroom"
beer,/bɪr/,เบียร์,noun,"Cold beer"
before,/bɪˈfɔːr/,ก่อน,preposition,"Before dinner"
begin,/bɪˈɡɪn/,เริ่ม,verb,"Begin the lesson"
beginning,/bɪˈɡɪnɪŋ/,จุดเริ่มต้น,noun,"From the beginning"
behind,/bɪˈhaɪnd/,ข้างหลัง,preposition,"Behind the house"
believe,/bɪˈliːv/,เชื่อ,verb,"I believe you"
below,/bɪˈloʊ/,ข้างล่าง,preposition,"Below the surface"
best,/best/,ดีที่สุด,adjective,"Best friend"
better,/ˈbetər/,ดีกว่า,adjective,"Better choice"
between,/bɪˈtwiːn/,ระหว่าง,preposition,"Between you and me"
big,/bɪɡ/,ใหญ่,adjective,"Big house"
bill,/bɪl/,ใบเรียกเก็บเงิน,noun,"Electric bill"
bird,/bɜːrd/,นก,noun,"Flying bird"
birth,/bɜːrθ/,การเกิด,noun,"Date of birth"
birthday,/ˈbɜːrθdeɪ/,วันเกิด,noun,"Happy birthday"
bit,/bɪt/,นิดหน่อย,noun,"A little bit"
black,/blæk/,สีดำ,adjective,"Black cat"
blood,/blʌd/,เลือด,noun,"Red blood"
blow,/bloʊ/,เป่า,verb,"Blow the candle"
blue,/bluː/,สีน้ำเงิน,adjective,"Blue sky"
board,/bɔːrd/,กระดาน,noun,"White board"
boat,/boʊt/,เรือ,noun,"Small boat"
body,/ˈbɑːdi/,ร่างกาย,noun,"Human body"
book,/bʊk/,หนังสือ,noun,"Good book"
born,/bɔːrn/,เกิด,verb,"Born in Thailand"
both,/boʊθ/,ทั้งสอง,determiner,"Both hands"
bottle,/ˈbɑːtəl/,ขวด,noun,"Water bottle"
bottom,/ˈbɑːtəm/,ด้านล่าง,noun,"Bottom of the sea"
box,/bɑːks/,กล่อง,noun,"Cardboard box"
boy,/bɔɪ/,เด็กผู้ชาย,noun,"Little boy"
break,/breɪk/,หัก,verb,"Break the glass"
breakfast,/ˈbrekfəst/,อาหารเช้า,noun,"Healthy breakfast"
bridge,/brɪdʒ/,สะพาน,noun,"Cross the bridge"
bright,/braɪt/,สว่าง,adjective,"Bright light"
bring,/brɪŋ/,นำมา,verb,"Bring your book"
brother,/ˈbrʌðər/,พี่ชาย,noun,"My brother"
brown,/braʊn/,สีน้ำตาล,adjective,"Brown hair"
build,/bɪld/,สร้าง,verb,"Build a house"
building,/ˈbɪldɪŋ/,อาคาร,noun,"Tall building"
burn,/bɜːrn/,เผา,verb,"Burn the paper"
bus,/bʌs/,รถบัส,noun,"School bus"
business,/ˈbɪznəs/,ธุรกิจ,noun,"Small business"
busy,/ˈbɪzi/,ยุ่ง,adjective,"Very busy"
but,/bʌt/,แต่,conjunction,"Small but strong"
buy,/baɪ/,ซื้อ,verb,"Buy some food"
by,/baɪ/,โดย,preposition,"Made by hand"
cake,/keɪk/,เค้ก,noun,"Birthday cake"
call,/kɔːl/,โทร,verb,"Call me later"
camera,/ˈkæmərə/,กล้อง,noun,"Digital camera"
can,/kæn/,สามารถ,modal verb,"I can swim"
car,/kɑːr/,รถยนต์,noun,"New car"
card,/kɑːrd/,บัตร,noun,"Credit card"
care,/ker/,ดูแล,verb,"Take care"
careful,/ˈkerfəl/,ระวัง,adjective,"Be careful"
carry,/ˈkæri/,ถือ,verb,"Carry the bag"
case,/keɪs/,กรณี,noun,"In this case"
cat,/kæt/,แมว,noun,"Black cat"
catch,/kætʃ/,จับ,verb,"Catch the ball"
cause,/kɔːz/,สาเหตุ,noun,"Main cause"
centre,/ˈsentər/,ศูนย์กลาง,noun,"City centre"
century,/ˈsentʃəri/,ศตวรรษ,noun,"21st century"
certain,/ˈsɜːrtən/,แน่นอน,adjective,"Certain about it"
certainly,/ˈsɜːrtənli/,แน่นอน,adverb,"Certainly possible"
chair,/tʃer/,เก้าอี้,noun,"Comfortable chair"
chance,/tʃæns/,โอกาส,noun,"Good chance"
change,/tʃeɪndʒ/,เปลี่ยน,verb,"Change your mind"
character,/ˈkærəktər/,ตัวละคร,noun,"Main character"
charge,/tʃɑːrdʒ/,คิดค่าบริการ,verb,"Charge your phone"
cheap,/tʃiːp/,ถูก,adjective,"Cheap price"
check,/tʃek/,ตรวจสอบ,verb,"Check your email"
child,/tʃaɪld/,เด็ก,noun,"Happy child"
choice,/tʃɔɪs/,ทางเลือก,noun,"Good choice"
choose,/tʃuːz/,เลือก,verb,"Choose wisely"
church,/tʃɜːrtʃ/,โบสถ์,noun,"Old church"
city,/ˈsɪti/,เมือง,noun,"Big city"
class,/klæs/,ชั้นเรียน,noun,"English class"
clean,/kliːn/,สะอาด,adjective,"Clean room"
clear,/klɪr/,ชัดเจน,adjective,"Clear water"
climb,/klaɪm/,ปีน,verb,"Climb the mountain"
clock,/klɑːk/,นาฬิกา,noun,"Wall clock"
close,/kloʊz/,ปิด,verb,"Close the door"
clothes,/kloʊðz/,เสื้อผ้า,noun,"New clothes"
club,/klʌb/,สโมสร,noun,"Football club"
coffee,/ˈkɔːfi/,กาแฟ,noun,"Hot coffee"
cold,/koʊld/,หนาว,adjective,"Cold weather"
collect,/kəˈlekt/,เก็บรวบรวม,verb,"Collect stamps"
college,/ˈkɑːlɪdʒ/,วิทยาลัย,noun,"Community college"
colour,/ˈkʌlər/,สี,noun,"Bright colour"
come,/kʌm/,มา,verb,"Come here"
common,/ˈkɑːmən/,ธรรมดา,adjective,"Common problem"
company,/ˈkʌmpəni/,บริษัท,noun,"Big company"
compare,/kəmˈper/,เปรียบเทียบ,verb,"Compare prices"
complete,/kəmˈpliːt/,สมบูรณ์,adjective,"Complete set"
computer,/kəmˈpjuːtər/,คอมพิวเตอร์,noun,"New computer"
condition,/kənˈdɪʃən/,สภาพ,noun,"Good condition"
continue,/kənˈtɪnjuː/,ต่อไป,verb,"Continue reading"
control,/kənˈtroʊl/,ควบคุม,verb,"Control yourself"
cook,/kʊk/,ทำอาหาร,verb,"Cook dinner"
cool,/kuːl/,เย็น,adjective,"Cool breeze"
copy,/ˈkɑːpi/,คัดลอก,verb,"Copy this file"
corner,/ˈkɔːrnər/,มุม,noun,"Street corner"
correct,/kəˈrekt/,ถูกต้อง,adjective,"Correct answer"
cost,/kɔːst/,ค่าใช้จ่าย,noun,"High cost"
could,/kʊd/,อาจจะ,modal verb,"Could you help?"
count,/kaʊnt/,นับ,verb,"Count to ten"
country,/ˈkʌntri/,ประเทศ,noun,"Beautiful country"
course,/kɔːrs/,หลักสูตร,noun,"English course"
cover,/ˈkʌvər/,ปก,noun,"Book cover"
create,/kriˈeɪt/,สร้าง,verb,"Create art"
cross,/krɔːs/,ข้าม,verb,"Cross the road"
cry,/kraɪ/,ร้องไห้,verb,"Don't cry"
culture,/ˈkʌltʃər/,วัฒนธรรม,noun,"Thai culture"
cup,/kʌp/,ถ้วย,noun,"Coffee cup"
cut,/kʌt/,ตัด,verb,"Cut the paper"
dance,/dæns/,เต้นรำ,verb,"Dance together"
dangerous,/ˈdeɪndʒərəs/,อันตราย,adjective,"Dangerous road"
dark,/dɑːrk/,มืด,adjective,"Dark night"
date,/deɪt/,วันที่,noun,"Today's date"
daughter,/ˈdɔːtər/,ลูกสาว,noun,"My daughter"
day,/deɪ/,วัน,noun,"Beautiful day"
dead,/ded/,ตาย,adjective,"Dead tree"
deal,/diːl/,จัดการ,verb,"Deal with it"
dear,/dɪr/,ที่รัก,adjective,"Dear friend"
death,/deθ/,ความตาย,noun,"Life and death"
decide,/dɪˈsaɪd/,ตัดสินใจ,verb,"Decide now"
decision,/dɪˈsɪʒən/,การตัดสินใจ,noun,"Good decision"
deep,/diːp/,ลึก,adjective,"Deep water"
degree,/dɪˈɡriː/,ปริญญา,noun,"University degree"
department,/dɪˈpɑːrtmənt/,แผนก,noun,"Sales department"
describe,/dɪˈskraɪb/,อธิบาย,verb,"Describe the picture"
design,/dɪˈzaɪn/,ออกแบบ,verb,"Design a logo"
detail,/ˈdiːteɪl/,รายละเอียด,noun,"Important detail"
develop,/dɪˈveləp/,พัฒนา,verb,"Develop skills"
development,/dɪˈveləpmənt/,การพัฒนา,noun,"Economic development"
die,/daɪ/,ตาย,verb,"Plants die"
difference,/ˈdɪfərəns/,ความแตกต่าง,noun,"Big difference"
different,/ˈdɪfərənt/,แตกต่าง,adjective,"Different style"
difficult,/ˈdɪfɪkəlt/,ยาก,adjective,"Difficult question"
dinner,/ˈdɪnər/,อาหารเย็น,noun,"Family dinner"
direction,/dəˈrekʃən/,ทิศทาง,noun,"Right direction"
director,/dəˈrektər/,ผู้อำนวยการ,noun,"Movie director"
discover,/dɪˈskʌvər/,ค้นพบ,verb,"Discover treasure"
discuss,/dɪˈskʌs/,อภิปราย,verb,"Discuss the plan"
discussion,/dɪˈskʌʃən/,การอภิปราย,noun,"Group discussion"
disease,/dɪˈziːz/,โรค,noun,"Heart disease"
doctor,/ˈdɑːktər/,หมอ,noun,"Family doctor"
document,/ˈdɑːkjəmənt/,เอกสาร,noun,"Important document"
dog,/dɔːɡ/,หมา,noun,"Friendly dog"
door,/dɔːr/,ประตู,noun,"Front door"
down,/daʊn/,ลง,adverb,"Go down"
draw,/drɔː/,วาด,verb,"Draw a picture"
dream,/driːm/,ฝัน,noun,"Sweet dream"
dress,/dres/,ชุดเดรส,noun,"Beautiful dress"
drink,/drɪŋk/,ดื่ม,verb,"Drink water"
drive,/draɪv/,ขับ,verb,"Drive carefully"
drop,/drɑːp/,หล่น,verb,"Drop the ball"
during,/ˈdʊrɪŋ/,ระหว่าง,preposition,"During the meeting"
each,/iːtʃ/,แต่ละ,determiner,"Each person"
early,/ˈɜːrli/,เร็ว,adjective,"Early morning"
east,/iːst/,ทิศตะวันออก,noun,"Far east"
easy,/ˈiːzi/,ง่าย,adjective,"Easy question"
eat,/iːt/,กิน,verb,"Eat breakfast"
economy,/ɪˈkɑːnəmi/,เศรษฐกิจ,noun,"Strong economy"
education,/ˌedʒəˈkeɪʃən/,การศึกษา,noun,"Good education"
effect,/ɪˈfekt/,ผลกระทบ,noun,"Side effect"
eight,/eɪt/,แปด,number,"Eight people"
either,/ˈiːðər/,อย่างใดอย่างหนึ่ง,determiner,"Either way"
election,/ɪˈlekʃən/,การเลือกตั้ง,noun,"National election"
else,/els/,อื่น,adverb,"Someone else"
email,/ˈiːmeɪl/,อีเมล,noun,"Send email"
employee,/ɪmˈplɔɪiː/,พนักงาน,noun,"New employee"
end,/end/,จบ,noun,"The end"
energy,/ˈenərdʒi/,พลังงาน,noun,"Solar energy"
enjoy,/ɪnˈdʒɔɪ/,สนุก,verb,"Enjoy yourself"
enough,/ɪˈnʌf/,พอ,adverb,"Good enough"
enter,/ˈentər/,เข้า,verb,"Enter the room"
environment,/ɪnˈvaɪrənmənt/,สิ่งแวดล้อม,noun,"Clean environment"
especially,/ɪˈspeʃəli/,โดยเฉพาะ,adverb,"Especially you"
even,/ˈiːvən/,แม้แต่,adverb,"Even better"
evening,/ˈiːvnɪŋ/,ตอนเย็น,noun,"Good evening"
event,/ɪˈvent/,เหตุการณ์,noun,"Special event"
ever,/ˈevər/,เคย,adverb,"Ever been there?"
every,/ˈevri/,ทุก,determiner,"Every day"
everyone,/ˈevriˌwʌn/,ทุกคน,pronoun,"Everyone knows"
everything,/ˈevriˌθɪŋ/,ทุกอย่าง,pronoun,"Everything is fine"
exactly,/ɪɡˈzæktli/,แน่นอน,adverb,"Exactly right"
example,/ɪɡˈzæmpəl/,ตัวอย่าง,noun,"Good example"
except,/ɪkˈsept/,ยกเว้น,preposition,"Everyone except me"
exciting,/ɪkˈsaɪtɪŋ/,น่าตื่นเต้น,adjective,"Exciting news"
excuse,/ɪkˈskjuːs/,ขออภัย,noun,"Excuse me"
exercise,/ˈeksərsaɪz/,ออกกำลังกาย,noun,"Daily exercise"
exist,/ɪɡˈzɪst/,มีอยู่,verb,"Does it exist?"
expect,/ɪkˈspekt/,คาดหวัง,verb,"I expect success"
expensive,/ɪkˈspensɪv/,แพง,adjective,"Expensive car"
experience,/ɪkˈspɪriəns/,ประสบการณ์,noun,"Good experience"
explain,/ɪkˈspleɪn/,อธิบาย,verb,"Explain the rule"
eye,/aɪ/,ตา,noun,"Blue eyes"
face,/feɪs/,หน้า,noun,"Happy face"
fact,/fækt/,ข้อเท็จจริง,noun,"True fact"
fail,/feɪl/,ล้มเหลว,verb,"Don't fail"
fall,/fɔːl/,ตก,verb,"Fall down"
family,/ˈfæməli/,ครอบครัว,noun,"Happy family"
famous,/ˈfeɪməs/,มีชื่อเสียง,adjective,"Famous actor"
far,/fɑːr/,ไกล,adjective,"Far away"
fast,/fæst/,เร็ว,adjective,"Fast car"
father,/ˈfɑːðər/,พ่อ,noun,"My father"
feel,/fiːl/,รู้สึก,verb,"Feel happy"
feeling,/ˈfiːlɪŋ/,ความรู้สึก,noun,"Good feeling"
few,/fjuː/,น้อย,determiner,"A few people"
field,/fiːld/,สนาม,noun,"Football field"
fight,/faɪt/,ต่อสู้,verb,"Fight for freedom"
figure,/ˈfɪɡjər/,รูปร่าง,noun,"Good figure"
file,/faɪl/,ไฟล์,noun,"Computer file"
fill,/fɪl/,เติม,verb,"Fill the glass"
film,/fɪlm/,ภาพยนตร์,noun,"Good film"
final,/ˈfaɪnəl/,สุดท้าย,adjective,"Final exam"
finally,/ˈfaɪnəli/,ในที่สุด,adverb,"Finally done"
find,/faɪnd/,หา,verb,"Find the key"
fine,/faɪn/,ดี,adjective,"Fine weather"
finger,/ˈfɪŋɡər/,นิ้ว,noun,"Point your finger"
finish,/ˈfɪnɪʃ/,จบ,verb,"Finish homework"
fire,/ˈfaɪər/,ไฟ,noun,"Camp fire"
first,/fɜːrst/,แรก,adjective,"First time"
fish,/fɪʃ/,ปลา,noun,"Fresh fish"
fit,/fɪt/,พอดี,verb,"Fit perfectly"
five,/faɪv/,ห้า,number,"Five minutes"
floor,/flɔːr/,พื้น,noun,"Clean floor"
fly,/flaɪ/,บิน,verb,"Birds fly"
follow,/ˈfɑːloʊ/,ตาม,verb,"Follow me"
food,/fuːd/,อาหาร,noun,"Delicious food"
foot,/fʊt/,เท้า,noun,"Left foot"
football,/ˈfʊtbɔːl/,ฟุตบอล,noun,"Play football"
for,/fɔːr/,สำหรับ,preposition,"For you"
force,/fɔːrs/,บังคับ,verb,"Use force"
forget,/fərˈɡet/,ลืม,verb,"Don't forget"
form,/fɔːrm/,รูปแบบ,noun,"Application form"
forward,/ˈfɔːrwərd/,ข้างหน้า,adverb,"Move forward"
four,/fɔːr/,สี่,number,"Four seasons"
free,/friː/,ฟรี,adjective,"Free time"
friend,/frend/,เพื่อน,noun,"Best friend"
from,/frʌm/,จาก,preposition,"From Thailand"
front,/frʌnt/,หน้า,noun,"In front"
full,/fʊl/,เต็ม,adjective,"Full tank"
fun,/fʌn/,สนุก,noun,"Have fun"
function,/ˈfʌŋkʃən/,หน้าที่,noun,"Main function"
future,/ˈfjuːtʃər/,อนาคต,noun,"Bright future"
game,/ɡeɪm/,เกม,noun,"Fun game"
garden,/ˈɡɑːrdən/,สวน,noun,"Beautiful garden"
general,/ˈdʒenərəl/,ทั่วไป,adjective,"General knowledge"
get,/ɡet/,ได้,verb,"Get ready"
girl,/ɡɜːrl/,เด็กผู้หญิง,noun,"Little girl"
give,/ɡɪv/,ให้,verb,"Give me"
glass,/ɡlæs/,แก้ว,noun,"Water glass"
go,/ɡoʊ/,ไป,verb,"Go home"
god,/ɡɑːd/,พระเจ้า,noun,"Thank god"
good,/ɡʊd/,ดี,adjective,"Good job"
government,/ˈɡʌvərnmənt/,รัฐบาล,noun,"New government"
great,/ɡreɪt/,ยอดเยี่ยม,adjective,"Great idea"
green,/ɡriːn/,สีเขียว,adjective,"Green tree"
ground,/ɡraʊnd/,พื้นดิน,noun,"Solid ground"
group,/ɡruːp/,กลุ่ม,noun,"Study group"
grow,/ɡroʊ/,เติบโต,verb,"Plants grow"
guess,/ɡes/,เดา,verb,"Guess what"
guy,/ɡaɪ/,ผู้ชาย,noun,"Nice guy"
hair,/her/,ผม,noun,"Long hair"
half,/hæf/,ครึ่ง,noun,"Half price"
hand,/hænd/,มือ,noun,"Shake hands"
happen,/ˈhæpən/,เกิดขึ้น,verb,"What happened?"
happy,/ˈhæpi/,มีความสุข,adjective,"Happy birthday"
hard,/hɑːrd/,หนัก,adjective,"Hard work"
have,/hæv/,มี,verb,"Have lunch"
he,/hiː/,เขา,pronoun,"He is tall"
head,/hed/,หัว,noun,"Big head"
health,/helθ/,สุขภาพ,noun,"Good health"
hear,/hɪr/,ได้ยิน,verb,"Hear music"
heart,/hɑːrt/,หัวใจ,noun,"Kind heart"
heavy,/ˈhevi/,หนัก,adjective,"Heavy box"
help,/help/,ช่วย,verb,"Help me"
her,/hər/,เธอ,pronoun,"Her book"
here,/hɪr/,ที่นี่,adverb,"Come here"
high,/haɪ/,สูง,adjective,"High mountain"
him,/hɪm/,เขา,pronoun,"Give him"
his,/hɪz/,ของเขา,pronoun,"His car"
history,/ˈhɪstəri/,ประวัติศาสตร์,noun,"World history"
hit,/hɪt/,ตี,verb,"Hit the ball"
hold,/hoʊld/,ถือ,verb,"Hold tight"
home,/hoʊm/,บ้าน,noun,"Go home"
hope,/hoʊp/,หวัง,verb,"I hope so"
hospital,/ˈhɑːspɪtəl/,โรงพยาบาล,noun,"City hospital"
hot,/hɑːt/,ร้อน,adjective,"Hot weather"
hotel,/hoʊˈtel/,โรงแรม,noun,"Luxury hotel"
hour,/ˈaʊər/,ชั่วโมง,noun,"One hour"
house,/haʊs/,บ้าน,noun,"Big house"
how,/haʊ/,อย่างไร,adverb,"How are you?"
however,/haʊˈevər/,อย่างไรก็ตาม,adverb,"However, I disagree"
huge,/hjuːdʒ/,ใหญ่มาก,adjective,"Huge elephant"
human,/ˈhjuːmən/,มนุษย์,noun,"Human being"
hundred,/ˈhʌndrəd/,ร้อย,number,"One hundred"
husband,/ˈhʌzbənd/,สามี,noun,"My husband"
I,/aɪ/,ฉัน,pronoun,"I am happy"
idea,/aɪˈdiːə/,ความคิด,noun,"Good idea"
if,/ɪf/,ถ้า,conjunction,"If you want"
image,/ˈɪmɪdʒ/,ภาพ,noun,"Clear image"
imagine,/ɪˈmædʒɪn/,จินตนาการ,verb,"Imagine that"
important,/ɪmˈpɔːrtənt/,สำคัญ,adjective,"Very important"
improve,/ɪmˈpruːv/,ปรับปรุง,verb,"Improve skills"
in,/ɪn/,ใน,preposition,"In the box"
include,/ɪnˈkluːd/,รวม,verb,"Include everything"
increase,/ɪnˈkriːs/,เพิ่ม,verb,"Increase speed"
indeed,/ɪnˈdiːd/,แท้จริง,adverb,"Indeed true"
individual,/ˌɪndɪˈvɪdʒuəl/,บุคคล,noun,"Each individual"
industry,/ˈɪndəstri/,อุตสาหกรรม,noun,"Car industry"
information,/ˌɪnfərˈmeɪʃən/,ข้อมูล,noun,"Useful information"
inside,/ɪnˈsaɪd/,ข้างใน,preposition,"Inside the house"
instead,/ɪnˈsted/,แทน,adverb,"Instead of that"
interest,/ˈɪntrəst/,ความสนใจ,noun,"Show interest"
interesting,/ˈɪntrəstɪŋ/,น่าสนใจ,adjective,"Interesting story"
international,/ˌɪntərˈnæʃənəl/,นานาชาติ,adjective,"International flight"
interview,/ˈɪntərvjuː/,สัมภาษณ์,noun,"Job interview"
into,/ˈɪntuː/,เข้าไป,preposition,"Go into"
introduce,/ˌɪntrəˈduːs/,แนะนำ,verb,"Introduce yourself"
investment,/ɪnˈvestmənt/,การลงทุน,noun,"Good investment"
invite,/ɪnˈvaɪt/,เชิญ,verb,"Invite friends"
involve,/ɪnˈvɑːlv/,เกี่ยวข้อง,verb,"Involve everyone"
issue,/ˈɪʃuː/,ประเด็น,noun,"Important issue"
it,/ɪt/,มัน,pronoun,"It is good"
item,/ˈaɪtəm/,รายการ,noun,"First item"
its,/ɪts/,ของมัน,pronoun,"Its color"
itself,/ɪtˈself/,ตัวมันเอง,pronoun,"By itself"
job,/dʒɑːb/,งาน,noun,"Good job"
join,/dʒɔɪn/,เข้าร่วม,verb,"Join us"
just,/dʒʌst/,เพียงแค่,adverb,"Just a minute"
keep,/kiːp/,เก็บ,verb,"Keep quiet"
key,/kiː/,กุญแจ,noun,"House key"
kid,/kɪd/,เด็ก,noun,"Smart kid"
kill,/kɪl/,ฆ่า,verb,"Kill time"
kind,/kaɪnd/,ใจดี,adjective,"Kind person"
kitchen,/ˈkɪtʃən/,ครัว,noun,"Modern kitchen"
know,/noʊ/,รู้,verb,"I know"
knowledge,/ˈnɑːlɪdʒ/,ความรู้,noun,"General knowledge"
land,/lænd/,ที่ดิน,noun,"Farm land"
language,/ˈlæŋɡwɪdʒ/,ภาษา,noun,"English language"
large,/lɑːrdʒ/,ใหญ่,adjective,"Large size"
last,/læst/,สุดท้าย,adjective,"Last chance"
late,/leɪt/,สาย,adjective,"Too late"
later,/ˈleɪtər/,ภายหลัง,adverb,"See you later"
laugh,/læf/,หัวเราะ,verb,"Laugh loudly"
law,/lɔː/,กฎหมาย,noun,"New law"
lay,/leɪ/,วาง,verb,"Lay down"
lead,/liːd/,นำ,verb,"Lead the way"
leader,/ˈliːdər/,ผู้นำ,noun,"Good leader"
learn,/lɜːrn/,เรียนรู้,verb,"Learn English"
least,/liːst/,น้อยที่สุด,adverb,"At least"
leave,/liːv/,ออกไป,verb,"Leave now"
left,/left/,ซ้าย,adjective,"Turn left"
leg,/leɡ/,ขา,noun,"Long legs"
less,/les/,น้อยกว่า,adverb,"Less money"
let,/let/,ให้,verb,"Let me go"
letter,/ˈletər/,จดหมาย,noun,"Love letter"
level,/ˈlevəl/,ระดับ,noun,"High level"
lie,/laɪ/,โกหก,verb,"Don't lie"
life,/laɪf/,ชีวิต,noun,"Happy life"
light,/laɪt/,แสง,noun,"Bright light"
like,/laɪk/,ชอบ,verb,"I like you"
line,/laɪn/,เส้น,noun,"Straight line"
list,/lɪst/,รายการ,noun,"Shopping list"
listen,/ˈlɪsən/,ฟัง,verb,"Listen carefully"
little,/ˈlɪtəl/,เล็ก,adjective,"Little baby"
live,/lɪv/,อยู่,verb,"Live here"
local,/ˈloʊkəl/,ท้องถิ่น,adjective,"Local food"
long,/lɔːŋ/,ยาว,adjective,"Long hair"
look,/lʊk/,ดู,verb,"Look at me"
lose,/luːz/,เสีย,verb,"Don't lose"
lot,/lɑːt/,มาก,noun,"A lot of"
love,/lʌv/,รัก,verb,"I love you"
low,/loʊ/,ต่ำ,adjective,"Low price"
lunch,/lʌntʃ/,อาหารกลางวัน,noun,"Lunch time"
machine,/məˈʃiːn/,เครื่องจักร,noun,"Washing machine"
